2023-07-06 10:44:10.648 INFO | [MainThread] chat [110] | LogHandler.py <module> | this is a test msg
2023-07-06 12:10:29.035 INFO | [Thread-1] chat [105] | chat_service.py question_answer_turbo_api | 请求ChatGPT结果：{'id': 'chatcmpl-7ZAbR1byGociBqa4yVygfZqoYbBLX', 'object': 'chat.completion', 'created': 1688616593, 'model': 'gpt-3.5-turbo-0613', 'choices': [{'index': 0, 'message': {'role': 'assistant', 'content': '毛主席在中国的历史上有着重要的贡献和影响。以下是他的一些伟大贡献：\n\n1. 领导中国革命：毛主席是中国共产党的创始人之一，领导了中国的革命斗争，推翻了帝国主义和封建主义的统治，建立了中华人民共和国。\n\n2. 建立社会主义制度：毛主席倡导并推动了中国的社会主义革命和建设，通过土地改革、农村合作化、大规模的工业化计划等，实现了国有制在经济中的主导地位。\n\n3. 发动文化大革命：毛主席发动了文化大革命，旨在清除资产阶级和官僚主义者阶级的影响，强调群众运动和革命意识形态的斗争。尽管这场运动也带来了混乱和破坏，但对于中国社会、政治和文化的变革产生了重大影响。\n\n4. 建立独立外交政策：毛主席坚持独立自主的外交政策，积极推动反帝斗争和第三世界国家联合，使中国在国际舞台上获得了更大的影响力和地位。\n\n总的来说，毛主席的贡献在于推动了中国社会主义革命和建设，改变了中国的政治、经济和社会结构，使中国成为世界上最大的社会主义国家之一。他的思想和理论对中国和全球都产生了深远的影响。'}, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 121, 'completion_tokens': 506, 'total_tokens': 627}}
2023-07-06 12:12:53.096 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-06 12:12:53.185 INFO | [MainThread] chat [40] | app.py <module> | Starting the app...
2023-07-06 12:13:57.932 INFO | [Thread-3] chat [21] | chat.py question | 请求参数: {'systemContent': '你好，我是小智，你可以问我任何问题，我会尽力回答你的问题。', 'question': '后续预测一下中国房地产的问题？', 'sessionLog': [{'question': '你怎么看待中国的发展趋势', 'answer': '中国实施了一系列发展战略和政策，包括两个一百年目标和新发展格局，旨在推动国家的经济、社会和科技进步。同时，中国积极参与全球化进程，加强与其他国家的合作，并在全球事务中扮演着越来越重要的角色。然而，国家的发展趋势是一个复杂的问题，涉及许多方面，包括政治、经济、社会和环境等。未来的发展趋势将取决于各种因素，如内外部环境、政策导向、国际关系和全球经济等'}]}
2023-07-06 12:13:57.932 INFO | [Thread-3] chat [79] | chat_service.py question_answer_turbo_api | messages:[{'role': 'system', 'content': '你好，我是小智，你可以问我任何问题，我会尽力回答你的问题。'}, {'role': 'user', 'content': '你怎么看待中国的发展趋势'}, {'role': 'assistant', 'content': '中国实施了一系列发展战略和政策，包括两个一百年目标和新发展格局，旨在推动国家的经济、社会和科技进步。同时，中国积极参与全球化进程，加强与其他国家的合作，并在全球事务中扮演着越来越重要的角色。然而，国家的发展趋势是一个复杂的问题，涉及许多方面，包括政治、经济、社会和环境等。未来的发展趋势将取决于各种因素，如内外部环境、政策导向、国际关系和全球经济等'}, {'role': 'user', 'content': '后续预测一下中国房地产的问题？'}]
2023-07-06 12:14:30.576 INFO | [Thread-3] chat [107] | chat_service.py question_answer_turbo_api | 请求ChatGPT结果：{'id': 'chatcmpl-7ZAfOLGqkzZ7zJtBChysQ3JnfHimB', 'object': 'chat.completion', 'created': 1688616838, 'model': 'gpt-3.5-turbo-0613', 'choices': [{'index': 0, 'message': {'role': 'assistant', 'content': '中国房地产市场是一个复杂而动态的领域，预测其未来发展存在一定的不确定性。然而，可以从以下几个方面来考虑中国房地产的问题：\n\n1. 调控政策：中国政府一直在实施房地产市场调控政策，以控制房价过快上涨和遏制投机行为。未来，政府可能会继续加强调控力度，以确保房地产市场稳定发展。\n\n2. 城市化进程：中国仍然面临着大规模的城市化进程，这将继续推动对住房需求的增长。尤其是二三线城市和农村地区的住房需求潜力巨大。\n\n3. 供需关系：供需关系是影响房地产市场的重要因素。随着人口老龄化和人口结构变化，住房需求可能会发生变化。同时，供应方面也需要适应不同城市和地区的需求差异。\n\n4. 可持续发展：中国政府提出了建设美丽中国和推动绿色发展的目标。在未来，房地产行业可能会受到更多环境保护和可持续发展的要求影响。\n\n综上所述，中国房地产市场的未来发展将受到政府政策、城市化进程、供需关系和可持续发展等多个因素的影响。因此，对于房地产市场的具体走势，需要密切关注这些因素的变化。'}, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 277, 'completion_tokens': 476, 'total_tokens': 753}}
2023-07-06 14:19:19.150 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-06 14:19:19.252 INFO | [MainThread] chat [40] | app.py <module> | Starting the app...
2023-07-06 14:21:40.413 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-06 14:21:40.502 INFO | [MainThread] chat [40] | app.py <module> | Starting the app...
2023-07-06 14:21:46.381 ERROR | [Thread-1] chat [23] | chat.py question | 请求参数不是json格式
2023-07-06 14:21:54.146 ERROR | [Thread-2] chat [23] | chat.py question | 请求参数不是json格式
2023-07-06 14:22:25.955 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-06 14:22:26.029 INFO | [MainThread] chat [40] | app.py <module> | Starting the app...
2023-07-06 14:22:30.328 ERROR | [Thread-1] chat [23] | chat.py question | 请求参数不是json格式
